TimeStamp,Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1,EMG2
36348,125.75,80.17,-163.9,55.14,73.47,114.36,2.209,305,471
36458,120.96,79.59,-168.61,53.61,72.12,113.45,2.312,208,237
36568,120.36,79.4,-166.2,54.62,71.23,116.74,2.546,197,160
36678,124.28,79.16,-161.25,55.63,70.94,119.39,2.18,394,405
36788,140.45,78.97,-147.13,56.09,72.47,120.33,2.082,250,409
36898,162.7,78.73,-123.19,57.58,75.74,125.4,2.18,381,386
37008,-177.46,76.81,-104.89,61.44,78.57,127.72,2.375,426,526
37118,-170.4,75.19,-98.42,65.63,81.29,131.38,2.146,255,190
37228,-163.68,73.84,-93.15,66.99,84.09,131.73,1.95,410,312
37338,-159.17,72.51,-88.49,71.79,86.45,136.04,1.97,327,346
37447,-156.55,71.67,-85.72,82.11,88.97,146.52,2.082,102,116
37557,-151.95,71.5,-83.49,-106.62,88.08,-42.46,2.131,255,212
37667,-147.59,72,-80.55,-104.37,84.52,-40.04,2.146,283,406
37777,-143.56,74.48,-77.19,-105.79,79.36,-41.14,2.175,255,374
37887,-140.48,79.5,-74.52,-109.79,73.54,-46.53,2.17,378,495
37997,-148.97,81.99,-84.76,-108.46,76.34,-47.41,2.097,414,468
38107,179.04,83.39,-117.62,-87.94,84.35,-30.57,2.063,355,363
38217,162.31,81.64,-137.86,16.93,83.94,70.75,2.116,205,184
38327,156.93,80.88,-143.62,37.59,78.5,88.18,2.165,367,378
38437,152.71,81,-145.35,42.66,76.13,94,2.111,108,126
38546,155.91,80.61,-145.26,46.44,76.83,96.91,2.199,66,44
38656,161.13,80.37,-142.59,50.73,78.34,101.11,2.434,366,307
38766,167.97,79.36,-136.79,53.58,79.55,103.71,2.454,333,340
38876,169.69,78.56,-135.56,57.4,80.3,107.51,2.322,229,233
38986,170.38,77.95,-135.4,59.91,80.72,109.35,2.239,98,159
39096,-59.43,8.21,102.35,60.19,80.27,108.97,2.346,112,182
39206,172.12,78.2,-133.78,58.31,79.09,106.98,2.483,224,375
39316,162.94,78.95,-142.85,58.17,77.51,106.82,2.502,922,922
39426,145.33,79.14,-159.34,57.48,75.39,106.83,2.537,922,922
39536,129.93,78.7,-171.86,55.89,73.03,104.62,2.571,922,922
39646,124.1,77.68,-175.95,52.83,72.15,102.06,2.586,922,922
39789,127.53,81.58,-172,36.28,81,88.78,2.581,922,922
39899,157.48,84.97,-141.07,-30.45,84.74,23.04,2.532,923,922
40008,-157.18,84.47,-96.44,-73.79,80.98,-20.81,2.449,921,907
40118,-140.06,82.45,-81.41,-90.62,76.54,-39.24,2.498,418,480
40228,-139.02,82.09,-83.09,-93.54,76.88,-44.41,2.292,278,303
40338,-149.69,83.46,-97.86,-93.86,79.43,-44.92,2.087,238,237
40448,-158.98,84,-109.44,-97.37,80.59,-49.2,2.229,244,233
40557,-161.61,83.28,-111.86,-101.01,81.09,-52.54,2.126,103,94
40667,-161.68,82.86,-112.27,-101.53,81.37,-53.22,2.092,266,210
40777,-160.85,82.89,-112.08,-100.42,81.4,-52.5,2.141,394,413
40887,-157.53,83.18,-108.37,-99,81.14,-50.74,2.151,269,232
40997,-150.77,83.5,-101.75,-93.59,80.57,-45.96,2.102,145,120
41107,-145.95,83.64,-96.76,-85.92,80.16,-38.4,2.092,113,112
41217,-145.03,82.36,-95.49,-79.75,80.99,-33.24,2.102,304,297
41326,-150.07,82.23,-102.83,-36.19,82.63,5.59,2.116,99,111
41436,-159.72,83.27,-116.39,1.11,80.47,37.43,2.121,326,381
41546,-175.66,84.27,-134.41,14.49,79.09,47.21,2.116,191,287
41656,-163.15,83.65,-124.42,16.26,79.69,48.29,2.087,267,364
41766,-155.16,82.71,-116.51,18.13,79.67,50.14,2.121,129,155
41875,-156.09,82.35,-118.12,18.42,80.01,50.29,2.141,363,291
41985,-156.86,82.09,-118.16,17.98,80.6,50.48,2.151,244,177
42095,-155.49,81.8,-117.28,18.59,80.54,51.26,2.16,319,210
42205,-155.71,81.55,-118.13,20.16,80.37,52.54,2.17,367,366
42315,-155.93,81.4,-117.99,22.05,80.56,54.63,2.18,158,128
42424,-157.05,81.35,-119.31,23.03,80.65,55.45,2.19,373,327
42534,-157.73,81.27,-119.9,23.25,80.75,55.71,2.195,424,471
42644,-157.14,81.06,-119.34,23.47,80.74,55.87,2.204,300,301
42754,-156.28,80.86,-118.42,24.06,80.61,56.37,2.278,203,186
42864,-162.06,81.36,-125.6,23.33,80.04,55,2.375,353,322
42974,-166.87,81.27,-130.13,23.52,80.34,55.04,2.38,396,423
43083,-167.6,80.96,-129.71,24.3,80.79,56.02,2.458,320,375
43193,-167.75,80.82,-128.91,24.6,81.05,56.97,2.649,250,193
43303,-167.15,80.72,-128.1,24.64,81.13,57.13,2.595,385,376
43413,-167.74,80.79,-128.67,24.72,81.27,57.13,2.488,393,437
43523,-168.3,80.78,-129.36,24.63,81.31,56.96,2.61,312,188
43632,-168.25,80.73,-129.55,24.63,81.32,56.63,2.463,331,234
43742,-168.37,81.03,-129.84,24.2,81.25,56.22,2.253,290,168
43852,-171.21,81.99,-133.02,21.67,81.21,54.23,2.195,178,111
43962,178.31,83.56,-144.56,15.63,81.61,48.65,2.292,148,49
44072,178.86,83.94,-143.01,10.06,81.47,43.29,2.444,322,367
44181,-176.94,84.2,-135.73,0.97,82.57,36.33,2.63,170,145
